id,name,iata,icao,lat,lon,country,created_at,updated_at
,Maastricht Aachen Airport,MST,EHBK,50.911652,5.770144,Netherlands,,
,Milan Malpensa Airport,MXP,LIMC,45.6306,8.728111,Italy,,
,Naples Airport,NAP,LIRN,40.886028,14.29078,Italy,,
,Nice Cote d'Azur Airport,NCE,LFMN,43.665272,7.215,France,,
,Newcastle Airport,NCL,EGNT,55.037498,-1.69166,United Kingdom,,
,Nador International Airport,NDR,GMMW,34.988888,-3.028333,Morocco,,
,Knock Ireland West Airport,NOC,EIKN,53.91029,-8.81849,Ireland,,
,Newquay Cornwall Airport,NQY,EGHQ,50.440552,-4.9954,United Kingdom,,
,Weeze Airport,NRN,EDLV,51.602409,6.142172,Germany,,
,Nantes Atlantique Airport,NTE,LFRS,47.15694,-1.60777,France,,
,Nuremberg Airport,NUE,EDDN,49.498699,11.06689,Germany,,
,Odesa International Airport,ODS,UKOO,46.426762,30.67646,Ukraine,,
,Oradea International Airport,OMR,LROD,47.025269,21.9025,Romania,,
,Porto Francisco de Sa Carneiro Airport,OPO,LPPR,41.248051,-8.68138,Portugal,,
,Cork Airport,ORK,EICK,51.841381,-8.49111,Ireland,,
,Oslo Gardermoen Airport,OSL,ENGM,60.193909,11.10036,Norway,,
,Ostrava Leos Janacek Airport,OSR,LKMT,49.696289,18.11105,Czechia,,
,Bucharest Henri Coanda International Airport,OTP,LROP,44.572159,26.102171,Romania,,
,Oujda Angads Airport,OUD,GMFO,34.787151,-1.92398,Morocco,,
,Ouarzazate Airport,OZZ,GMMZ,30.939051,-6.90943,Morocco,,
,Ponta Delgada Joao Paulo II Airport,PDL,LPPD,37.74118,-25.6978,Portugal,,
,Plovdiv Airport,PDV,LBPD,42.067799,24.85083,Bulgaria,,
,Perugia Umbria International Airport,PEG,LIRZ,43.095901,12.51322,Italy,,
,Paphos International Airport,PFO,LCPH,34.718029,32.485729,Cyprus,,
,Perpignan Rivesaltes Airport,PGF,LFMP,42.740829,2.869722,France,,
,Glasgow Prestwick Airport,PIK,EGPK,55.509441,-4.58666,United Kingdom,,
,Poitiers – Biard Airport,PIS,LFBI,46.587502,0.306667,France,,
,Palanga International Airport,PLQ,EYPA,55.973221,21.093849,Lithuania,,
,Parma Airport,PMF,LIMP,44.824478,10.29636,Italy,,
,Palma de Mallorca Airport,PMI,LEPA,39.55167,2.738808,Spain,,
,Palermo Falcone-Borsellino Airport,PMO,LICJ,38.175949,13.09101,Italy,,
,Poznan Lawica Airport,POZ,EPPO,52.421028,16.826321,Poland,,
,Presque Isle Northern Maine Airport,PQI,KPQI,46.688969,-68.0448,United States,,
,Prague Vaclav Havel Airport,PRG,LKPR,50.10083,14.26,Czechia,,
,Pisa Galileo Galilei Airport,PSA,LIRP,43.68391,10.39275,Italy,,
,Pescara Abruzzo International Airport,PSR,LIBP,42.431648,14.18106,Italy,,
,Portland International Jetport,PWM,KPWM,43.64616,-70.309196,United States,,
,Lasham Airport,QLA,EGHL,51.187199,-1.0335,United Kingdom,,
,Marrakesh Menara Airport,RAK,GMMX,31.60688,-8.0363,Morocco,,
,Rabat-Sale Airport,RBA,GMME,34.05146,-6.75151,Morocco,,
,Rhinelander Oneida County Airport,RHI,KRHI,45.631191,-89.4674,United States,,
,Riga International Airport,RIX,EVRA,56.923611,23.971109,Latvia,,
,Murcia Corvera International Airport,RMU,LEMI,37.80405,-1.141831,Spain,,
,Rzeszow Jasionka Airport,RZE,EPRZ,50.109951,22.018999,Poland,,
,South Bend Airport,SBN,KSBN,41.708221,-86.317299,United States,,
,Sibiu International Airport,SBZ,LRSB,45.785789,24.091181,Romania,,
,Santiago de Compostela Airport,SCQ,LEST,42.896332,-8.41514,Spain,,
,Suceava International Airport,SCV,LRSV,47.6875,26.35405,Romania,,
,Santander Airport,SDR,LEXJ,43.427059,-3.82,Spain,,
,Thessaloniki International Airport,SKG,LGTS,40.519718,22.970949,Greece,,
,Shannon Airport,SNN,EINN,52.701969,-8.92481,Ireland,,
,Sofia Airport,SOF,LBSF,42.69519,23.40616,Bulgaria,,
,London Stansted Airport,STN,EGSS,51.884998,0.235,United Kingdom,,
